C1,C2,O,H1,H2,H3,H4,H5,H6
[-0.22942962 -0.52329735  0.25867156],[-0.92578946  0.76645777  0.42994302],[ 0.03752302  2.16339533 -0.65470393],[-1.09246584  0.70223584 -1.28066582],[ 1.42412365 -0.87814737 -0.77459888],[0.58570902 1.30472469 1.14388568],[-0.35346108 -1.34117558 -1.20556747],[ 1.23475271 -0.77156483  1.10223053],[-0.75884652 -1.43688108  0.90809213]
[-0.22942962 -0.52329735  0.25867156],[-0.92578946  0.76645777  0.42994302],[ 0.03752302  2.16339533 -0.65470393],[-1.09246584  0.70223584 -1.28066582],[ 1.42412365 -0.87814737 -0.77459888],[0.58570902 1.30472469 1.14388568],[-0.35346108 -1.34117558 -1.20556747],[ 1.23475271 -0.77156483  1.10223053],[-0.75884652 -1.43688108  0.90809213]
[-0.22942962 -0.52329735  0.25867156],[-0.92578946  0.76645777  0.42994302],[ 0.03752302  2.16339533 -0.65470393],[-1.09246584  0.70223584 -1.28066582],[ 1.42412365 -0.87814737 -0.77459888],[0.58570902 1.30472469 1.14388568],[-0.35346108 -1.34117558 -1.20556747],[ 1.23475271 -0.77156483  1.10223053],[-0.75884652 -1.43688108  0.90809213]
[-0.22942962 -0.52329735  0.25867156],[-0.92578946  0.76645777  0.42994302],[ 0.03752302  2.16339533 -0.65470393],[-1.09246584  0.70223584 -1.28066582],[ 1.42412365 -0.87814737 -0.77459888],[0.58570902 1.30472469 1.14388568],[-0.35346108 -1.34117558 -1.20556747],[ 1.23475271 -0.77156483  1.10223053],[-0.75884652 -1.43688108  0.90809213]
[-0.22942962 -0.52329735  0.25867156],[-0.92578946  0.76645777  0.42994302],[ 0.03752302  2.16339533 -0.65470393],[-1.09246584  0.70223584 -1.28066582],[ 1.42412365 -0.87814737 -0.77459888],[0.58570902 1.30472469 1.14388568],[-0.35346108 -1.34117558 -1.20556747],[ 1.23475271 -0.77156483  1.10223053],[-0.75884652 -1.43688108  0.90809213]
[-0.22942962 -0.52329735  0.25867156],[-0.92578946  0.76645777  0.42994302],[ 0.03752302  2.16339533 -0.65470393],[-1.09246584  0.70223584 -1.28066582],[ 1.42412365 -0.87814737 -0.77459888],[0.58570902 1.30472469 1.14388568],[-0.35346108 -1.34117558 -1.20556747],[ 1.23475271 -0.77156483  1.10223053],[-0.75884652 -1.43688108  0.90809213]
[-0.22942962 -0.52329735  0.25867156],[-0.92578946  0.76645777  0.42994302],[ 0.03752302  2.16339533 -0.65470393],[-1.09246584  0.70223584 -1.28066582],[ 1.42412365 -0.87814737 -0.77459888],[0.58570902 1.30472469 1.14388568],[-0.35346108 -1.34117558 -1.20556747],[ 1.23475271 -0.77156483  1.10223053],[-0.75884652 -1.43688108  0.90809213]
[-0.22942962 -0.52329735  0.25867156],[-0.92578946  0.76645777  0.42994302],[ 0.03752302  2.16339533 -0.65470393],[-1.09246584  0.70223584 -1.28066582],[ 1.42412365 -0.87814737 -0.77459888],[0.58570902 1.30472469 1.14388568],[-0.35346108 -1.34117558 -1.20556747],[ 1.23475271 -0.77156483  1.10223053],[-0.75884652 -1.43688108  0.90809213]
[-0.22942962 -0.52329735  0.25867156],[-0.92578946  0.76645777  0.42994302],[ 0.03752302  2.16339533 -0.65470393],[-1.09246584  0.70223584 -1.28066582],[ 1.42412365 -0.87814737 -0.77459888],[0.58570902 1.30472469 1.14388568],[-0.35346108 -1.34117558 -1.20556747],[ 1.23475271 -0.77156483  1.10223053],[-0.75884652 -1.43688108  0.90809213]
[-0.22942962 -0.52329735  0.25867156],[-0.92578946  0.76645777  0.42994302],[ 0.03752302  2.16339533 -0.65470393],[-1.09246584  0.70223584 -1.28066582],[ 1.42412365 -0.87814737 -0.77459888],[0.58570902 1.30472469 1.14388568],[-0.35346108 -1.34117558 -1.20556747],[ 1.23475271 -0.77156483  1.10223053],[-0.75884652 -1.43688108  0.90809213]
